Donor,Carprofen,Stimulus,Stim_Conc,IL1b_pgml
D1,0,BCG,0,NA
D1,0,BCG,1,NA
D1,0,BCG,10,NA
D1,0,BCG,100,17.4908107259364
D1,1,BCG,0,NA
D1,1,BCG,1,NA
D1,1,BCG,10,2.87106525415272
D1,1,BCG,100,9.510108858152
D1,10,BCG,0,NA
D1,10,BCG,1,NA
D1,10,BCG,10,NA
D1,10,BCG,100,31.9818208188173
D1,100,BCG,0,NA
D1,100,BCG,1,NA
D1,100,BCG,10,NA
D1,100,BCG,100,NA
D2,0,BCG,0,NA
D2,0,BCG,1,NA
D2,0,BCG,10,NA
D2,0,BCG,100,NA
D2,1,BCG,0,NA
D2,1,BCG,1,NA
D2,1,BCG,10,NA
D2,1,BCG,100,NA
D2,10,BCG,0,NA
D2,10,BCG,1,NA
D2,10,BCG,10,NA
D2,10,BCG,100,NA
D2,100,BCG,0,NA
D2,100,BCG,1,NA
D2,100,BCG,10,NA
D2,100,BCG,100,NA
D3,0,BCG,0,NA
D3,0,BCG,1,NA
D3,0,BCG,10,NA
D3,0,BCG,100,4.04302889729961
D3,1,BCG,0,NA
D3,1,BCG,1,NA
D3,1,BCG,10,NA
D3,1,BCG,100,5.67889669780117
D3,10,BCG,0,NA
D3,10,BCG,1,NA
D3,10,BCG,10,NA
D3,10,BCG,100,5.97774837132498
D3,100,BCG,0,NA
D3,100,BCG,1,NA
D3,100,BCG,10,NA
D3,100,BCG,100,NA
D4,0,BCG,0,NA
D4,0,BCG,1,5.58092853133582
D4,0,BCG,10,6.3120201587554
D4,0,BCG,100,5.72731240907741
D4,1,BCG,0,NA
D4,1,BCG,1,NA
D4,1,BCG,10,86.8491072116989
D4,1,BCG,100,4.11111446270333
D4,10,BCG,0,NA
D4,10,BCG,1,NA
D4,10,BCG,10,NA
D4,10,BCG,100,5.36117906736237
D4,100,BCG,0,NA
D4,100,BCG,1,NA
D4,100,BCG,10,NA
D4,100,BCG,100,NA
