Donor,Carprofen,Stimulus,Stim_Conc,IL1b_pgml
D1,0,LPS,0,NA
D1,0,LPS,1,3.05542928403203
D1,0,LPS,10,NA
D1,0,LPS,100,2.94628986854268
D1,1,LPS,0,NA
D1,1,LPS,1,NA
D1,1,LPS,10,3.49170138744139
D1,1,LPS,100,2.83713352712845
D1,10,LPS,0,NA
D1,10,LPS,1,2.40003772158644
D1,10,LPS,10,NA
D1,10,LPS,100,2.50936405233146
D1,100,LPS,0,NA
D1,100,LPS,1,NA
D1,100,LPS,10,4.03650730413938
D1,100,LPS,100,6.53862569720935
D2,0,LPS,0,NA
D2,0,LPS,1,7.62877739223819
D2,0,LPS,10,7.02699130730495
D2,0,LPS,100,3.89500245556286
D2,1,LPS,0,NA
D2,1,LPS,1,3.7470973059441
D2,1,LPS,10,3.52547121818236
D2,1,LPS,100,NA
D2,10,LPS,0,NA
D2,10,LPS,1,10.5083295619086
D2,10,LPS,10,4.11708704591714
D2,10,LPS,100,2.42179290442656
D2,100,LPS,0,NA
D2,100,LPS,1,8.83704098829344
D2,100,LPS,10,14.9674434055613
D2,100,LPS,100,8.0056940845709
D3,0,LPS,0,NA
D3,0,LPS,1,NA
D3,0,LPS,10,4.4136143776366
D3,0,LPS,100,2.86233264796026
D3,1,LPS,0,NA
D3,1,LPS,1,NA
D3,1,LPS,10,2.64189749237715
D3,1,LPS,100,3.7470973059441
D3,10,LPS,0,NA
D3,10,LPS,1,4.78492287397012
D3,10,LPS,10,NA
D3,10,LPS,100,3.15673026632186
D3,100,LPS,0,NA
D3,100,LPS,1,NA
D3,100,LPS,10,4.78492287397012
D3,100,LPS,100,22.1927175570088
D4,0,LPS,0,NA
D4,0,LPS,1,6.3120201587554
D4,0,LPS,10,4.55337197189044
D4,0,LPS,100,NA
D4,1,LPS,0,NA
D4,1,LPS,1,6.53098067676633
D4,1,LPS,10,2.8492962398081
D4,1,LPS,100,3.51916775621009
D4,10,LPS,0,NA
D4,10,LPS,1,5.36117906736237
D4,10,LPS,10,3.59332212324119
D4,10,LPS,100,2.8492962398081
D4,100,LPS,0,NA
D4,100,LPS,1,NA
D4,100,LPS,10,5.58092853133581
D4,100,LPS,100,7.91475509578425
