"Well","Content","OD405","pct_B_B0","predicted_conc","Plate","Experiment","Drug","Stimulus_type","Stimulus_dose","Stimulus_dose_num","Carprofen_conc"
"A10","Exp2 C0 L0 (1/1)",0.45,55.6535433070866,94.3538746516396,"Plate2","Exp2","C0","LPS","0",0,0
"A11","Exp2 C10 L0 (1/1)",0.48,61.3228346456693,78.1048854950968,"Plate2","Exp2","C10","LPS","0",0,10
"A4","Exp1 C0 B0 (1/1)",0.473,60,81.6711571224942,"Plate2","Exp1","C0","BCG","0",0,0
"A5","Exp1 C10 B0 (1/1)",0.429,51.6850393700787,107.47993885036,"Plate2","Exp1","C10","BCG","0",0,10
"A6","Exp1 C0 L0 (1/1)",0.434,52.6299212598425,104.201266470997,"Plate2","Exp1","C0","LPS","0",0,0
"A7","Exp1 C10 L0 (1/1)",0.459,57.3543307086614,89.2019800770163,"Plate2","Exp1","C10","LPS","0",0,10
"A8","Exp2 C0 B0 (1/1)",0.555,75.496062992126,46.065878895363,"Plate2","Exp2","C0","BCG","0",0,0
"A9","Exp2 C10 B0 (1/1)",0.56,76.4409448818898,44.2319340530273,"Plate2","Exp2","C10","BCG","0",0,10
"B10","Exp2 C0 L1 (1/1)",0.43,51.8740157480315,106.815953897981,"Plate2","Exp2","C0","LPS","1",1,0
"B11","Exp2 C10 L1 (1/1)",0.462,57.9212598425197,87.5407455774474,"Plate2","Exp2","C10","LPS","1",1,10
"B4","Exp1 C0 B1 (1/1)",0.472,59.8110236220472,82.1909897905626,"Plate2","Exp1","C0","BCG","1",1,0
"B5","Exp1 C10 B1 (1/1)",0.445,54.7086614173228,97.3317528349225,"Plate2","Exp1","C10","BCG","1",1,10
"B6","Exp1 C0 L1 (1/1)",0.414,48.8503937007874,117.974396913728,"Plate2","Exp1","C0","LPS","1",1,0
"B7","Exp1 C10 L1 (1/1)",0.452,56.0314960629921,93.1864365239171,"Plate2","Exp1","C10","LPS","1",1,10
"B8","Exp2 C0 B1 (1/1)",0.545,73.6062992125984,49.8232001008297,"Plate2","Exp2","C0","BCG","1",1,0
"B9","Exp2 C10 B1 (1/1)",0.562,76.8188976377953,43.5061963159506,"Plate2","Exp2","C10","BCG","1",1,10
"C10","Exp2 C0 L10 (1/1)",0.405,47.1496062992126,124.80217098957,"Plate2","Exp2","C0","LPS","10",10,0
"C11","Exp2 C10 L10 (1/1)",0.453,56.2204724409449,92.6076564183957,"Plate2","Exp2","C10","LPS","10",10,10
"C4","Exp1 C0 B10 (1/1)",0.434,52.6299212598425,104.201266470997,"Plate2","Exp1","C0","BCG","10",10,0
"C5","Exp1 C10 B10 (1/1)",0.428,51.496062992126,108.148143026439,"Plate2","Exp1","C10","BCG","10",10,10
"C6","Exp1 C0 L10 (1/1)",0.357,38.0787401574803,170.446578350869,"Plate2","Exp1","C0","LPS","10",10,0
"C7","Exp1 C10 L10 (1/1)",0.446,54.8976377952756,96.7292561868768,"Plate2","Exp1","C10","LPS","10",10,10
"C8","Exp2 C0 B10 (1/1)",0.55,74.5511811023622,47.9290947054733,"Plate2","Exp2","C0","BCG","10",10,0
"C9","Exp2 C10 B10 (1/1)",0.579,80.0314960629921,37.5022816836554,"Plate2","Exp2","C10","BCG","10",10,10
"D10","Exp2 C0 L100 (1/1)",0.363,39.2125984251969,163.673486154636,"Plate2","Exp2","C0","LPS","100",100,0
"D11","Exp2 C10 L100 (1/1)",0.448,55.2755905511811,95.5347183094812,"Plate2","Exp2","C10","LPS","100",100,10
"D4","Exp1 C0 B100 (1/1)",0.392,44.6929133858268,135.48156868956,"Plate2","Exp1","C0","BCG","100",100,0
"D5","Exp1 C10 B100 (1/1)",0.437,53.1968503937008,102.282292489198,"Plate2","Exp1","C10","BCG","100",100,10
"D6","Exp1 C0 L100 (1/1)",0.369,40.3464566929134,157.258952564366,"Plate2","Exp1","C0","LPS","100",100,0
"D7","Exp1 C10 L100 (1/1)",0.462,57.9212598425197,87.5407455774474,"Plate2","Exp1","C10","LPS","100",100,10
"D8","Exp2 C0 B100 (1/1)",0.529,70.5826771653543,56.1116000548793,"Plate2","Exp2","C0","BCG","100",100,0
"D9","Exp2 C10 B100 (1/1)",0.581,80.4094488188976,36.8137045364547,"Plate2","Exp2","C10","BCG","100",100,10
"E10","Exp2 C1 L0 (1/1)",0.476,60.5669291338583,80.1274139475364,"Plate2","Exp2","C1","LPS","0",0,1
"E11","Exp2 C100 L0 (1/1)",0.386,43.5590551181102,140.77714749931,"Plate2","Exp2","C100","LPS","0",0,100
"E4","Exp1 C1 B0 (1/1)",0.453,56.2204724409449,92.6076564183957,"Plate2","Exp1","C1","BCG","0",0,1
"E5","Exp1 C100 B0 (1/1)",0.381,42.6141732283465,145.386514789251,"Plate2","Exp1","C100","BCG","0",0,100
"E6","Exp1 C1 L0 (1/1)",0.459,57.3543307086614,89.2019800770163,"Plate2","Exp1","C1","LPS","0",0,1
"E7","Exp1 C100 L0 (1/1)",0.406,47.3385826771654,124.021993095429,"Plate2","Exp1","C100","LPS","0",0,100
"E8","Exp2 C1 B0 (1/1)",0.58,80.2204724409449,37.1575621930956,"Plate2","Exp2","C1","BCG","0",0,1
"E9","Exp2 C100 B0 (1/1)",0.493,63.7795275590551,71.7962694594863,"Plate2","Exp2","C100","BCG","0",0,100
"F10","Exp2 C1 L1 (1/1)",0.505,66.0472440944882,66.2998417348676,"Plate2","Exp2","C1","LPS","1",1,1
"F11","Exp2 C100 L1 (1/1)",0.409,47.9055118110236,121.714421512683,"Plate2","Exp2","C100","LPS","1",1,100
"F4","Exp1 C1 B1 (1/1)",0.477,60.755905511811,79.6179975301011,"Plate2","Exp1","C1","BCG","1",1,1
"F5","Exp1 C100 B1 (1/1)",0.408,47.7165354330709,122.4781857209,"Plate2","Exp1","C100","BCG","1",1,100
"F6","Exp1 C1 L1 (1/1)",0.462,57.9212598425197,87.5407455774474,"Plate2","Exp1","C1","LPS","1",1,1
"F7","Exp1 C100 L1 (1/1)",0.401,46.3937007874016,127.97966845208,"Plate2","Exp1","C100","LPS","1",1,100
"F8","Exp2 C1 B1 (1/1)",0.606,85.1338582677165,28.4609257922209,"Plate2","Exp2","C1","BCG","1",1,1
"F9","Exp2 C100 B1 (1/1)",0.511,67.1811023622047,63.6580106366566,"Plate2","Exp2","C100","BCG","1",1,100
"G10","Exp2 C1 L10 (1/1)",0.509,66.8031496062992,64.5311414416781,"Plate2","Exp2","C1","LPS","10",10,1
"G11","Exp2 C100 L10 (1/1)",0.413,48.6614173228346,118.712106139074,"Plate2","Exp2","C100","LPS","10",10,100
"G4","Exp1 C1 B10 (1/1)",0.44,53.7637795275591,100.398042818277,"Plate2","Exp1","C1","BCG","10",10,1
"G5","Exp1 C100 B10 (1/1)",0.398,45.8267716535433,130.424448958034,"Plate2","Exp1","C100","BCG","10",10,100
"G6","Exp1 C1 L10 (1/1)",0.447,55.0866141732283,96.1302571210953,"Plate2","Exp1","C1","LPS","10",10,1
"G7","Exp1 C100 L10 (1/1)",0.436,53.007874015748,102.9180351966,"Plate2","Exp1","C100","LPS","10",10,100
"G8","Exp2 C1 B10 (1/1)",0.55,74.5511811023622,47.9290947054733,"Plate2","Exp2","C1","BCG","10",10,1
"G9","Exp2 C100 B10 (1/1)",0.509,66.8031496062992,64.5311414416781,"Plate2","Exp2","C100","BCG","10",10,100
"H10","Exp2 C1 L100 (1/1)",0.528,70.3937007874016,56.517003502764,"Plate2","Exp2","C1","LPS","100",100,1
"H11","Exp2 C100 L100 (1/1)",0.421,50.1732283464567,112.947853266315,"Plate2","Exp2","C100","LPS","100",100,100
"H4","Exp1 C1 B100 (1/1)",0.428,51.496062992126,108.148143026439,"Plate2","Exp1","C1","BCG","100",100,1
"H5","Exp1 C100 B100 (1/1)",0.391,44.503937007874,136.347096376861,"Plate2","Exp1","C100","BCG","100",100,100
"H6","Exp1 C1 L100 (1/1)",0.43,51.8740157480315,106.815953897981,"Plate2","Exp1","C1","LPS","100",100,1
"H7","Exp1 C100 L100 (1/1)",0.407,47.5275590551181,123.247353977249,"Plate2","Exp1","C100","LPS","100",100,100
"H8","Exp2 C1 B100 (1/1)",0.539,72.4724409448819,52.1392435490349,"Plate2","Exp2","C1","BCG","100",100,1
"H9","Exp2 C100 B100 (1/1)",0.511,67.1811023622047,63.6580106366566,"Plate2","Exp2","C100","BCG","100",100,100
"A10","Exp4 C0 L0 (1/1)",0.43,45.980528511822,104.612272731701,"Plate3","Exp4","C0","LPS","0",0,0
"A11","Exp4 C10 L0 (1/1)",0.423,44.8122392211405,109.991272556114,"Plate3","Exp4","C10","LPS","0",0,10
"A12","Exp3 DMSO 0 (1/1)",0.401,41.1404728789986,129.03075927402,"Plate3","Exp3","DMSO","DMSO","0",0,0
"A4","Exp3 C0 B0 (1/1)",0.484,54.9930458970793,71.4096675218931,"Plate3","Exp3","C0","BCG","0",0,0
"A5","Exp3 C10 B0 (1/1)",0.537,63.8386648122392,48.8846283029829,"Plate3","Exp3","C10","BCG","0",0,10
"A6","Exp3 C0 L0 (1/1)",0.466,51.9888734353268,81.0677419596651,"Plate3","Exp3","C0","LPS","0",0,0
"A7","Exp3 C10 L0 (1/1)",0.425,45.1460361613352,108.42385857037,"Plate3","Exp3","C10","LPS","0",0,10
"A8","Exp4 C0 B0 (1/1)",0.516,60.3337969401947,56.8991149360386,"Plate3","Exp4","C0","BCG","0",0,0
"A9","Exp4 C10 B0 (1/1)",0.487,55.4937413073713,69.9137738771207,"Plate3","Exp4","C10","BCG","0",0,10
"B10","Exp4 C0 L1 (1/1)",0.33,29.2906815020862,224.494848535804,"Plate3","Exp4","C0","LPS","1",1,0
"B11","Exp4 C10 L1 (1/1)",0.453,49.8191933240612,88.8529482047483,"Plate3","Exp4","C10","LPS","1",1,10
"B12","Exp3 DMSO 1 (1/1)",0.444,48.317107093185,94.6949100479091,"Plate3","Exp3","DMSO","DMSO","1",1,0
"B4","Exp3 C0 B1 (1/1)",0.569,69.1794158553546,38.5002157544407,"Plate3","Exp3","C0","BCG","1",1,0
"B5","Exp3 C10 B1 (1/1)",0.558,67.3435326842837,41.8466832270205,"Plate3","Exp3","C10","BCG","1",1,10
"B6","Exp3 C0 L1 (1/1)",0.445,48.4840055632823,94.0262314742149,"Plate3","Exp3","C0","LPS","1",1,0
"B7","Exp3 C10 L1 (1/1)",0.478,53.9916550764951,74.4953967623329,"Plate3","Exp3","C10","LPS","1",1,10
